platform,category,query_type,keyword,video_id,title,comment_id,author,published_at,comment
youtube,Vùng miền,neutral,vùng miền,JCJTLKvG4yQ,"Lan rừng 24/7/sđt: 08666.05553. quế t8 các vùng miền, ong khoái mật xiêu già , cáo lá 5cm",UgwRQt_ydbwrPEBR11p4AaABAg,@Truonggiang-r2t,2026-07-24T04:35:01Z,Má nó rẻ giò quế hb kia 2 năm trước mua 1 cây hơn 1 triệu còn k đẹp bằng cAy trên giò.jo thì hết tiền mà lan lại rẻ 😂😂😂 tôi mà có không gian tôi bê vội mấy giò quế về ngắm hoa cho đã quá bèo
youtube,Vùng miền,neutral,vùng miền,JCJTLKvG4yQ,"Lan rừng 24/7/sđt: 08666.05553. quế t8 các vùng miền, ong khoái mật xiêu già , cáo lá 5cm",UgyTCzLnm70djx8w6IB4AaABAg,@1984tuy,2026-07-24T03:44:28Z,Anh mua mật của nhà em 4 năm nay chắc tính yến nhỉ ? Thế cuối năm có quà chi ân không em 😂
youtube,Vùng miền,neutral,vùng miền,o19AFGtYI50,Phân Biệt Vùng Miền | Chửi Mọi Thứ Trên Internet,UgynHCht0pWmLwUEIw54AaABAg,@TunaGamingvn,2024-12-20T10:30:54Z,"Trải nghiệm ngay SPEAK tại: https://bit.ly/49uTPfS
Tôi hiện đang bị chấn thương, không nhẹ nhưng cũng không quá nặng, bác sĩ yêu cầu không ngồi quá 1 tiếng 1 ngày trong vòng 3-4 tháng. Cho nên dù không muốn nhưng video này buộc phải làm theo kiểu này vì tôi không thể ngồi vẽ nhiêu đuợc :("
youtube,Vùng miền,neutral,vùng miền,o19AFGtYI50,Phân Biệt Vùng Miền | Chửi Mọi Thứ Trên Internet,UgwZfpgKwjhIWEqgCK54AaABAg,@Embecute73,2026-07-18T14:50:25Z,"4:12 nói kỹ hơn thì quân Pháp xây đường tàu trên đất Thanh Hóa. Và người Thanh Hóa đã bán hết lương thực để ăn rau má ở đường tàu, mục đích là để phá đường dây vận chuyển vũ khí cho quân Pháp...
Vậy mà ko hiểu sao anh em lấy nó làm câu xúc phạm người Thanh Hóa nữa :P"
youtube,Vùng miền,neutral,vùng miền,o19AFGtYI50,Phân Biệt Vùng Miền | Chửi Mọi Thứ Trên Internet,UgzULT2ov_ZdbkY20ep4AaABAg,@myhanhtran0103,2026-07-13T09:47:49Z,em người thanh hóa
youtube,Vùng miền,neutral,vùng miền,o19AFGtYI50,Phân Biệt Vùng Miền | Chửi Mọi Thứ Trên Internet,UgwKuKTFxV2wtvDzukR4AaABAg,@SươngMaiLâm,2026-07-07T15:41:51Z,ơ cháu cũng xoá tiktok từ năm cháu 18 để ôn thi đh và bây h cháu 22 và cháu hoàn  toàn ổn khi ko có tiktok :>
youtube,Vùng miền,neutral,vùng miền,o19AFGtYI50,Phân Biệt Vùng Miền | Chửi Mọi Thứ Trên Internet,UgydhK02p5Lxeyx_-d94AaABAg,@HaiVu-px6qx,2026-06-21T01:59:08Z,hình như cái thumbnail của ông lên VTV r hay j ấy
youtube,Vùng miền,neutral,vùng miền,o19AFGtYI50,Phân Biệt Vùng Miền | Chửi Mọi Thứ Trên Internet,UgwRWmsbOysj92HIyXh4AaABAg,@khangtran-ow8pm,2026-06-19T11:09:24Z,"Ko liên quan đến ý nghĩa của vid nhưng mà khúc quả chanh, chú tôi vẽ theo khẩu hình miệng khi nói tiếng anh.
Thế thôi, hết chuyện."
youtube,Vùng miền,neutral,vùng miền,o19AFGtYI50,Phân Biệt Vùng Miền | Chửi Mọi Thứ Trên Internet,UgxMyh3AjjpARj4QZg54AaABAg,@animefunclip6196,2026-06-18T09:54:50Z,Đầu VIDEO là của Jvevermind à ?
youtube,Vùng miền,neutral,vùng miền,o19AFGtYI50,Phân Biệt Vùng Miền | Chửi Mọi Thứ Trên Internet,UgxxTkiSs9-TxpMYiaN4AaABAg,@Boray-e3i,2026-06-16T07:07:54Z,t dám khẳng định nếu có cmt ý phân biệt vùng miền thì đến 80% đổ lên là người miền nam chọc ngoáy trước 🤣
